# Methods whose compiled body is a single RET: there is nothing in the binary to recover, whatever the
# original source says. Regenerate with:
#   probe2 <libil2cpp.so> <global-metadata.dat> <unityVersion> bare > tools/bare-returns.tsv
# assembly<TAB>type<TAB>member<TAB>parameters
mscorlib	System.Runtime.Remoting.Messaging.MethodCall	Init	0
mscorlib	System.Runtime.Remoting.Messaging.MessageDictionary	get_SyncRoot	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.SerializationHeaderRecord	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryAssembly	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryCrossAppDomainAssembly	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryObject	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryMethodCall	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryMethodReturn	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryObjectString	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryCrossAppDomainString	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryCrossAppDomainMap	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.MemberPrimitiveTyped	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.BinaryObjectWithMap	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.MemberPrimitiveUnTyped	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.MemberReference	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.ObjectNull	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.MessageEnd	Read	1
mscorlib	System.Runtime.Serialization.Formatters.Binary.MessageEnd	Dump	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.MessageEnd	Dump	1
mscorlib	System.Runtime.Serialization.Formatters.Binary.__BinaryWriter	WriteBegin	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.__BinaryWriter	WriteObjectEnd	2
mscorlib	System.Runtime.Serialization.Formatters.Binary.ReadObjectInfo	ObjectEnd	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.__BinaryParser	ReadBegin	0
mscorlib	System.Runtime.Serialization.Formatters.Binary.__BinaryParser	ReadEnd	0
mscorlib	System.Runtime.InteropServices.MemoryMarshal	AsMemory	1
mscorlib	System.Runtime.InteropServices.MemoryMarshal	GetReference	1
mscorlib	System.Runtime.InteropServices.MemoryMarshal	GetReference	1
mscorlib	System.Runtime.InteropServices.GCHandle	op_Explicit	1
mscorlib	System.Runtime.InteropServices.GCHandle	ToIntPtr	1
mscorlib	System.Runtime.CompilerServices.YieldAwaitable+YieldAwaiter	GetResult	0
mscorlib	System.Runtime.CompilerServices.ConditionalWeakTable`2+Enumerator	Reset	0
mscorlib	System.Runtime.CompilerServices.RuntimeHelpers	PrepareConstrainedRegions	0
mscorlib	System.Runtime.CompilerServices.Unsafe	As	1
mscorlib	System.Runtime.CompilerServices.Unsafe	As	1
mscorlib	System.Runtime.CompilerServices.Unsafe	AsPointer	1
mscorlib	System.Runtime.CompilerServices.Unsafe	AsRef	1
mscorlib	System.Runtime.CompilerServices.Unsafe	AsRef	1
mscorlib	System.Resources.ResourceFallbackManager+<GetEnumerator>d__5	System.IDisposable.Dispose	0
mscorlib	System.Resources.ResourceManager	SetAppXConfiguration	0
mscorlib	System.Reflection.SignatureType	get_UnderlyingSystemType	0
mscorlib	System.Reflection.TypeInfo+<GetDeclaredMethods>d__10	System.IDisposable.Dispose	0
mscorlib	System.Reflection.TypeInfo	System.Reflection.IReflectableType.GetTypeInfo	0
mscorlib	System.Reflection.TypeInfo	AsType	0
mscorlib	System.Reflection.StrongNameKeyPair	System.Runtime.Serialization.IDeserializationCallback.OnDeserialization	1
mscorlib	System.Globalization.NumberFormatInfo	OnDeserializing	1
mscorlib	System.Globalization.NumberFormatInfo	OnDeserialized	1
mscorlib	System.Globalization.CultureData	ReescapeWin32Strings	1
mscorlib	System.Globalization.CultureData	ReescapeWin32String	1
mscorlib	System.Globalization.CultureInfo	CheckNeutral	0
mscorlib	System.Diagnostics.Debugger	NotifyOfCrossThreadDependency	0
mscorlib	System.Diagnostics.Tracing.EventSource	Dispose	1
mscorlib	System.Diagnostics.Tracing.EventSource	WriteEvent	2
mscorlib	System.Diagnostics.Tracing.EventSource	WriteEventCore	3
mscorlib	System.Collections.CollectionBase	get_List	0
mscorlib	System.Collections.CollectionBase	OnSet	3
mscorlib	System.Collections.CollectionBase	OnInsert	2
mscorlib	System.Collections.CollectionBase	OnClear	0
mscorlib	System.Collections.CollectionBase	OnRemove	2
